Title,Author,Genre,Language,Year
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,English,1997
Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,English,1998
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy,English,1999
Percy Jackson and the Lightning Thief,Rick Riordan,Fantasy,English,2005
The Sea of Monsters,Rick Riordan,Fantasy,English,2006
The Hobbit,J.R.R. Tolkien,Fantasy,English,1937
The Lord of the Rings,J.R.R. Tolkien,Fantasy,English,1954
The Chronicles of Narnia,C.S. Lewis,Fantasy,English,1950
Eragon,Christopher Paolini,Fantasy,English,2002
The Name of the Wind,Patrick Rothfuss,Fantasy,English,2007
Atomic Habits,James Clear,Self Help,English,2018
The Power of Habit,Charles Duhigg,Self Help,English,2012
Think and Grow Rich,Napoleon Hill,Self Help,English,1937
The 7 Habits of Highly Effective People,Stephen Covey,Self Help,English,1989
The Subtle Art of Not Giving a F*ck,Mark Manson,Self Help,English,2016
Deep Work,Cal Newport,Productivity,English,2016
The One Thing,Gary Keller,Productivity,English,2013
Eat That Frog!,Brian Tracy,Productivity,English,2001
Getting Things Done,David Allen,Productivity,English,2001
Essentialism,Greg McKeown,Productivity,English,2014
Rich Dad Poor Dad,Robert Kiyosaki,Finance,English,1997
The Intelligent Investor,Benjamin Graham,Finance,English,1949
The Psychology of Money,Morgan Housel,Finance,English,2020
Think Like a Monk,Jay Shetty,Self Help,English,2020
Ikigai,Hector Garcia,Self Help,English,2016
The Alchemist,Paulo Coelho,Fiction,English,1988
The Kite Runner,Khaled Hosseini,Fiction,English,2003
The Book Thief,Markus Zusak,Fiction,English,2005
To Kill a Mockingbird,Harper Lee,Fiction,English,1960
1984,George Orwell,Dystopian,English,1949
Animal Farm,George Orwell,Dystopian,English,1945
Brave New World,Aldous Huxley,Dystopian,English,1932
The Great Gatsby,F. Scott Fitzgerald,Classic,English,1925
Pride and Prejudice,Jane Austen,Classic,English,1813
Jane Eyre,Charlotte Bronte,Classic,English,1847
The Catcher in the Rye,J.D. Salinger,Classic,English,1951
Sapiens,Yuval Noah Harari,History,English,2011
Homo Deus,Yuval Noah Harari,History,English,2015
Educated,Tara Westover,Biography,English,2018
Becoming,Michelle Obama,Biography,English,2018
Steve Jobs,Walter Isaacson,Biography,English,2011
The Diary of a Young Girl,Anne Frank,Biography,English,1947
The Da Vinci Code,Dan Brown,Mystery,English,2003
Angels and Demons,Dan Brown,Mystery,English,2000
Gone Girl,Gillian Flynn,Thriller,English,2012
The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,English,2005
The Silent Patient,Alex Michaelides,Thriller,English,2019
Dune,Frank Herbert,Science Fiction,English,1965
The Martian,Andy Weir,Science Fiction,English,2011
Project Hail Mary,Andy Weir,Science Fiction,English,2021
